event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-dfebcafe598d1ce2b130,Government of Nepal BIPAD Portal,2014,9,21,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,0,0,0,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-147fdeb50d20648c7920,Government of Nepal BIPAD Portal,2014,9,23,Far Western Region,Achham,Kamalbazar,FLOOD,1,0,0,0,0,0,0,0.0,False,29.06417,81.30663,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-79948ee03e2fb9050ee3,Government of Nepal BIPAD Portal,2014,9,25,Central Region,Rautahat,Brindaban,FLOOD,1,1,0,0,0,0,0,0.0,False,26.98914,85.33443,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-84231acd6c1a9d597db5,Government of Nepal BIPAD Portal,2014,9,29,Central Region,Makwanpur,Makawanpurgadhi,FLOOD,1,0,0,0,0,0,0,0.0,False,27.4427,85.08797,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-605d7cfcac0f3bbd6a3f,Government of Nepal BIPAD Portal,2014,10,13,Mid-Western Region,Surkhet,Barahtal,FLOOD,0,2,0,0,0,0,0,0.0,False,28.65047,81.50876,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-5f1f9ff6d4cdfc433e92,Government of Nepal BIPAD Portal,2014,10,14,Western Region,Arghakhanchi,Bhumikasthan,FLOOD,0,1,0,0,0,0,0,0.0,False,27.94393,83.04234,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-55a92ff8f1182ea9a57a,Government of Nepal BIPAD Portal,2014,10,14,Central Region,Chitwan,Bharatpur,FLOOD,1,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-1376cdccf203d8d67f3b,Government of Nepal BIPAD Portal,2015,7,3,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,0,0,0,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-fce5fbd8bdc7a48a0a87,Government of Nepal BIPAD Portal,2015,7,4,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,2,0,4,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-0eaa605cb3cf7c38bf43,Government of Nepal BIPAD Portal,2015,7,8,Mid-Western Region,Bardiya,Barbardiya,FLOOD,0,2,0,0,0,0,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-93d15b01afa35d278916,Government of Nepal BIPAD Portal,2015,7,15,Central Region,Sarlahi,Haripur,FLOOD,0,0,0,0,0,0,0,0.0,False,26.96729,85.57183,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-42cb242b9c3ecb437391,Government of Nepal BIPAD Portal,2015,7,16,Mid-Western Region,Bardiya,Barbardiya,FLOOD,0,0,0,0,2,0,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-33543f0adb5db6e84ab1,Government of Nepal BIPAD Portal,2015,7,23,Eastern Region,Sankhuwasabha,Khandbari,FLOOD,0,0,0,0,0,0,0,0.0,False,27.3868814825,87.2156945863,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-a2496014c34a94be49d2,Government of Nepal BIPAD Portal,2015,7,31,Far Western Region,Kanchanpur,Shuklaphanta National Park,FLOOD,0,0,0,0,6,0,0,0.0,False,28.84298,80.31147,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-9f0f72bdb095a0ed551a,Government of Nepal BIPAD Portal,2015,8,21,Central Region,Chitwan,Bharatpur,FLOOD,0,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-996c37048d70717bebc7,Government of Nepal BIPAD Portal,2015,8,21,Mid-Western Region,Rolpa,Rolpa,FLOOD,0,0,0,0,0,4,0,0.0,False,28.32432,82.65523,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-e22a60fdf1ef6e2452f9,Government of Nepal BIPAD Portal,2015,8,30,Eastern Region,Okhaldhunga,Molung,FLOOD,0,0,2,0,2,0,0,0.0,False,27.33592,86.44629,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-8819e91da52ec5b6ef62,Government of Nepal BIPAD Portal,2015,9,1,Central Region,Sindhuli,Kamalamai,FLOOD,0,1,2,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-adbe78c61cd88a0dee0c,Government of Nepal BIPAD Portal,2016,5,4,Central Region,Makwanpur,Makawanpurgadhi,FLOOD,2,0,0,0,0,0,0,0.0,False,27.4427,85.08797,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-9d23baff2f49fe5709a0,Government of Nepal BIPAD Portal,2016,5,10,Far Western Region,Baitadi,Surnaya,FLOOD,0,0,0,0,0,1,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
